Name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,1/4 car body mass,suspension mass,spring constant of suspension system,spring constant of wheel and tire,damping constant of suspension system,damping constant of wheel and tire
datsun 1200,35,4,72,69,1613,18,71,3,403,52,35526,80650,56,2423
toyota corona,31,4,76,52,1649,16.5,74,3,412,53,36319,82450,58,2477
toyota starlet,39.1,4,79,58,1755,16.9,81,3,439,56,38654,87750,61,2636
honda civic 1300,35.1,4,81,60,1760,16.1,81,3,440,56,38764,88000,62,2644
toyota corolla 1200,31,4,71,65,1773,19,71,3,443,57,39050,88650,62,2663
honda civic cvcc,33,4,91,53,1795,17.5,75,3,449,57,39535,89750,63,2696
honda civic,33,4,91,53,1795,17.4,76,3,449,57,39535,89750,63,2696
ford fiesta,36.1,4,98,66,1800,14.4,78,1,450,58,39645,90000,63,2704
honda civic cvcc,36.1,4,91,60,1800,16.4,78,3,450,58,39645,90000,63,2704
volkswagen rabbit,29.5,4,97,71,1825,12.2,76,2,456,58,40196,91250,64,2741
renault 5 gtl,36,4,79,58,1825,18.6,77,2,456,58,40196,91250,64,2741
volkswagen model 111,27,4,97,60,1834,19,71,2,459,59,40394,91700,64,2755
volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,70,2,459,59,40416,91750,64,2756
renault lecar deluxe,40.9,4,85,?,1835,17.3,80,2,459,59,40416,91750,64,2756
toyota corolla 1200,32,4,71,65,1836,21,74,3,459,59,40438,91800,64,2758
vokswagen rabbit,29.8,4,89,62,1845,15.3,80,2,461,59,40636,92250,65,2771
honda civic 1500 gl,44.6,4,91,67,1850,13.8,80,3,463,59,40746,92500,65,2779
fiat 128,29,4,68,49,1867,19.5,73,2,467,60,41121,93350,65,2804
plymouth champ,39,4,86,64,1875,16.4,81,1,469,60,41297,93750,66,2816
dodge colt hatchback custom,35.7,4,98,80,1915,14.4,79,1,479,61,42178,95750,67,2876
vw rabbit custom,31.9,4,89,71,1925,14,79,2,481,62,42398,96250,67,2891
volkswagen rabbit,29,4,90,70,1937,14,75,2,484,62,42662,96850,68,2909
vw rabbit,29,4,90,70,1937,14.2,76,2,484,62,42662,96850,68,2909
volkswagen rabbit custom,29,4,97,78,1940,14.5,77,2,485,62,42729,97000,68,2914
datsun f-10 hatchback,33.5,4,85,70,1945,16.8,77,3,486,62,42839,97250,68,2921
volkswagen super beetle,26,4,97,46,1950,21,73,2,488,62,42949,97500,68,2929
datsun b210,31,4,79,67,1950,19,74,3,488,62,42949,97500,68,2929
plymouth cricket,26,4,91,70,1955,20.5,71,1,489,63,43059,97750,68,2936
volkswagen dasher,26,4,79,67,1963,15.5,74,2,491,63,43235,98150,69,2948
honda civic,38,4,91,67,1965,15,82,3,491,63,43279,98250,69,2951
honda civic (auto),32,4,91,67,1965,15.7,82,3,491,63,43279,98250,69,2951
